"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"250103000012025NS003435";"250103000012025NE000030";"33903704";"MANUTENCAO E CONSERVACAO DE BENS IMOVEIS";"1021261,30";"0,00";"0,00";"0,00"
"275075272112025NS007596";"275075272112025NE000155";"33903948";"SERVICO DE SELECAO E TREINAMENTO";"13740,00";"0,00";"0,00";"0,00"
"323031322052025NS005664";"323031322052025NE000257";"33903951";"SERVICOS DE ANALISES E PESQUISAS CIENTIFICAS";"63613,36";"0,00";"0,00";"0,00"
"366003362102025NS112330";"366003362102025NE001104";"33903004";"GAS E OUTROS MATERIAIS ENGARRAFADOS";"98,50";"0,00";"0,00";"0,00"
"366003362102025NS112331";"366003362102025NE007078";"33903011";"MATERIAL QUIMICO";"3640,00";"0,00";"0,00";"0,00"
"366003362102025NS112332";"366003362102025NE019936";"33903011";"MATERIAL QUIMICO";"255600,00";"0,00";"0,00";"0,00"
"366003362102025NS112333";"366003362102025NE013636";"33903016";"MATERIAL DE EXPEDIENTE";"1681,98";"0,00";"0,00";"0,00"
"366003362102025NS112334";"366003362102025NE013624";"33903016";"MATERIAL DE EXPEDIENTE";"6345,90";"0,00";"0,00";"0,00"
"366003362102025NS112335";"366003362102025NE000889";"33903007";"GENEROS DE ALIMENTACAO";"1968,00";"0,00";"0,00";"0,00"
"366003362102025NS112336";"366003362102025NE011273";"33903007";"GENEROS DE ALIMENTACAO";"3600,00";"0,00";"0,00";"0,00"
"366003362102025NS112337";"366003362102025NE015069";"33903011";"MATERIAL QUIMICO";"2856,00";"0,00";"0,00";"0,00"
"366003362102025NS112338";"366003362102025NE012028";"33903011";"MATERIAL QUIMICO";"1534,00";"0,00";"0,00";"0,00"
"366003362102025NS112339";"366003362102025NE020539";"33903009";"MATERIAL FARMACOLOGICO";"8100,00";"0,00";"0,00";"0,00"
"366003362102025NS112340";"366003362102025NE015071";"33903011";"MATERIAL QUIMICO";"3005,40";"0,00";"0,00";"0,00"
"366003362102025NS112341";"366003362102025NE020542";"33903009";"MATERIAL FARMACOLOGICO";"9660,00";"0,00";"0,00";"0,00"
"366003362102025NS114222";"366003362102025NE020307";"33903036";"MATERIAL HOSPITALAR";"880,00";"0,00";"0,00";"0,00"
"366003362102025NS114252";"366003362102025NE019280";"33903007";"GENEROS DE ALIMENTACAO";"4536,00";"0,00";"0,00";"0,00"
"366003362102025NS114721";"366003362102025NE012372";"33903036";"MATERIAL HOSPITALAR";"180,00";"0,00";"0,00";"0,00"
"366003362102025NS114722";"366003362102025NE007618";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"4200,00";"0,00";"0,00";"0,00"
"366003362102025NS114723";"366003362102025NE009904";"33903036";"MATERIAL HOSPITALAR";"2016,00";"0,00";"0,00";"0,00"
"366003362102025NS114724";"366003362102025NE015316";"33903007";"GENEROS DE ALIMENTACAO";"2383,94";"0,00";"0,00";"0,00"
"366003362102025NS114724";"366003362102025NE015315";"33903007";"GENEROS DE ALIMENTACAO";"3548,61";"0,00";"0,00";"0,00"
"366003362102025NS114725";"366003362102025NE019697";"33903036";"MATERIAL HOSPITALAR";"170340,00";"0,00";"0,00";"0,00"
"366003362102025NS114726";"366003362102025NE011163";"33903036";"MATERIAL HOSPITALAR";"2520,00";"0,00";"0,00";"0,00"
"366003362102025NS114727";"366003362102025NE001029";"33903007";"GENEROS DE ALIMENTACAO";"694,50";"0,00";"0,00";"0,00"
"366003362102025NS114728";"366003362102025NE015718";"33903009";"MATERIAL FARMACOLOGICO";"2469,00";"0,00";"0,00";"0,00"
"366003362102025NS114729";"366003362102025NE004684";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"4350,00";"0,00";"0,00";"0,00"
"366003362102025NS114730";"366003362102025NE021895";"33903009";"MATERIAL FARMACOLOGICO";"116400,00";"0,00";"0,00";"0,00"
"366003362102025NS114731";"366003362102025NE013282";"33903004";"GAS E OUTROS MATERIAIS ENGARRAFADOS";"3188,90";"0,00";"0,00";"0,00"
"366003362102025NS114732";"366003362102025NE019643";"33903011";"MATERIAL QUIMICO";"3346,00";"0,00";"0,00";"0,00"
"366003362102025NS114733";"366003362102025NE006498";"33903024";"MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES";"154,56";"0,00";"0,00";"0,00"
"366003362102025NS114734";"366003362102025NE020687";"33903036";"MATERIAL HOSPITALAR";"110000,00";"0,00";"0,00";"0,00"
"366003362102025NS114735";"366003362102025NE019624";"33903009";"MATERIAL FARMACOLOGICO";"36736,00";"0,00";"0,00";"0,00"
"366003362102025NS114736";"366003362102025NE022393";"33903009";"MATERIAL FARMACOLOGICO";"129138,00";"0,00";"0,00";"0,00"
"366003362102025NS114737";"366003362102025NE020536";"33903009";"MATERIAL FARMACOLOGICO";"108000,00";"0,00";"0,00";"0,00"
"366003362102025NS114738";"366003362102025NE014757";"33903021";"MATERIAL DE COPA E COZINHA";"4089,42";"0,00";"0,00";"0,00"
"366003362102025NS114739";"366003362102025NE013946";"33903021";"MATERIAL DE COPA E COZINHA";"1451,82";"0,00";"0,00";"0,00"
"366003362102025NS114740";"366003362102025NE014375";"33903036";"MATERIAL HOSPITALAR";"64,22";"0,00";"0,00";"0,00"
"366003362102025NS114741";"366003362102025NE014402";"33903009";"MATERIAL FARMACOLOGICO";"244,30";"0,00";"0,00";"0,00"
"366003362102025NS114742";"366003362102025NE020720";"33903036";"MATERIAL HOSPITALAR";"79156,80";"0,00";"0,00";"0,00"
"366003362102025NS114743";"366003362102025NE018228";"33903009";"MATERIAL FARMACOLOGICO";"3202,42";"0,00";"0,00";"0,00"
"366003362102025NS114744";"366003362102025NE014411";"33903009";"MATERIAL FARMACOLOGICO";"336,00";"0,00";"0,00";"0,00"
"366003362102025NS114745";"366003362102025NE006634";"33903036";"MATERIAL HOSPITALAR";"79,60";"0,00";"0,00";"0,00"
"366003362102025NS114748";"366003362102025NE015628";"33903020";"MATERIAL DE CAMA, MESA E BANHO";"2730,00";"0,00";"0,00";"0,00"
