ano_orcamento,tipo_entidade,entidade,qtd_processos,valor_alimentar,valor_desapropriacao,valor_outras,valor_total,status_pagamento,data_publicacao_moc,codigo_comunicado,codigo_filefetch,fonte,fonte_url
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CACHOEIRA PAULISTA,2,2579.52,0.00,41098.24,43677.76,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CACONDE,2,13952.65,0.00,68730.08,82682.73,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAFELÂNDIA,12,570274.84,0.00,384238.19,954513.03,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAIEIRAS,7,536229.02,0.00,25066.68,561295.70,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAIUÁ,10,475625.78,0.00,156307.67,631933.45,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAJAMAR,3,164735.09,0.00,353736.67,518471.76,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAJATI,6,425323.15,729061.08,0.00,1154384.23,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAJOBI,16,380576.18,0.00,361455.93,742032.11,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAJURU,1,0.00,803233.81,0.00,803233.81,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAMPINA DO MONTE ALEGRE,11,460974.04,0.00,274011.00,734985.04,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAMPINAS,339,48469669.99,3365260.59,18292578.26,70127508.84,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAMPO LIMPO PAULISTA,27,1024155.93,0.00,1375537.73,2399693.66,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAMPOS DO JORDÃO,7,355494.66,0.00,11965386.32,12320880.98,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAMPOS NOVOS PAULISTA,2,0.00,0.00,204212.99,204212.99,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CANANÉIA,12,534393.57,0.00,1432533.85,1966927.42,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CANAS,2,0.00,0.00,86664.24,86664.24,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CÂNDIDO MOTA,38,1174204.05,0.00,0.00,1174204.05,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CÂNDIDO RODRIGUES,8,606672.61,0.00,0.00,606672.61,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CANITAR,1,0.00,0.00,45689.31,45689.31,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAPÃO BONITO,3,154768.73,0.00,476710.50,631479.23,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAPELA DO ALTO,5,51201.31,0.00,234430.70,285632.01,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAPITÃO POÇO - PA,8,0.00,0.00,1547228.75,1547228.75,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CAPIVARI,4,186444.80,2282467.11,0.00,2468911.91,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CARAGUATATUBA,19,1421700.40,664929.54,805245.48,2891875.42,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CARAPICUÍBA,26,1547623.83,0.00,27532271.70,29079895.53,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CARDOSO,25,1047222.64,0.00,32688.19,1079910.83,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CASA BRANCA,2,0.00,0.00,146829.91,146829.91,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CÁSSIA DOS COQUEIROS,2,43255.24,0.00,188169.12,231424.36,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
2024,autarquia_municipal,PREFEITURA MUNICIPAL DE CASTANHAL - PA,1,0.00,0.00,1841599.85,1841599.85,PENDENTE,2023-05-29,37264,146918,TJSP DEPRE MOC,https://api.tjsp.jus.br/Handlers/Handler/FileFetch.ashx?codigo=146918
