UO_Cadastradora_Codigo,UO_Cadastradora_Nome,UO_Devedora_Codigo,UO_Devedora_Nome,Ano,Precatorio,Tipo_Causa,Valor_RS,conciliacao_status,conciliacao_tipo,cnj_processo_execucao,cnj_processo_originario,cnj_candidato,match_metodo,cnpj_entidade_devedora,causa_provavel,tribunal_cobertura,siop_chave,siop_tribunal,siop_data_ajuizamento,siop_data_autuacao,siop_tipo_despesa,siop_tributario,siop_natureza_despesa,siop_valor_original,siop_valor_atualizado,siop_fundef,siop_anos_decorridos,siop_class_tempo,siop_class_nfgc,siop_faixa_valor,siop_match_status
11101,Superior Tribunal de Justiça,52101,M. da Defesa,2025,13274,Administrativo - Militar - Regime - Anistia Política,1746288,NAO_IDENTIFICADO,PENDENTE,,,,,,Entidade nao mapeada para extracao TRF1,NAO_TESTADO,,,,,,,,,,,,,,,SEM_UO_NO_SIOP
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1683133320254010000,FUNDEF/Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e,1746036,NAO_IDENTIFICADO,PENDENTE,,,0168313-33.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_1.9%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1648395420254010000,Cofins - Contribuição Social - Contribuições - Direito Tributário,1745561,NAO_IDENTIFICADO,PENDENTE,,,0164839-54.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_1.9%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1543306420254010000,FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS - ENTIDADES,1736742,NAO_IDENTIFICADO,PENDENTE,,,0154330-64.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_1.4%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1680812120254010000,Anistia Administrativa - Regime Estatutário - Servidor Público Civil - Administrativo,1732504,NAO_IDENTIFICADO,PENDENTE,,,0168081-21.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_1.1%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,7726756320244010000,Gratificação Incorporada/Quintos e Décimos/VPNI - Sistema Remuneratório e,1730437,NAO_IDENTIFICADO,PENDENTE,,,0772675-63.2024.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_1.0%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1546943620254010000,FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS - ENTIDADES,1728165,NAO_IDENTIFICADO,PENDENTE,,,0154694-36.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.9%
12102,TRF - 1a. Região,33201,INSS,2026,1655133220254010000,"Índice de 28,86% Lei 8.622/1993 e 8.627/1993 - Reajuste de Vencimentos - Servidor",1727660,NAO_IDENTIFICADO,PENDENTE,,,0165513-32.2025.4.01.9198,,29979036000140,Entidade sem PRC extraido no TRF1 (CNPJ pode estar incorreto),TRF1,0806922,Tribunal Regional Federal da 1a. Região,"1993-07-26 00:00:00,000","2025-03-31 00:00:00,000",11,Não,31909100,1195211,1232888.4848905886,Não Fundef,31,20 anos ou mais,Pessoal,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_APROX_25.8%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,4169368120244010000,Abono Pecuniário (Art. 78 Lei 8.112/90) - Sistema Remuneratório - Servidor Público,1726221,NAO_IDENTIFICADO,PENDENTE,,,0416936-81.2024.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0834669,Tribunal Regional Federal da 2a. Região,"2019-10-31 00:00:00,000","2025-03-25 00:00:00,000",21,Sim,33909100,1712628,1766616.3883207224,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.8%
12103,TRF - 2a. Região,33904,F. Regime Geral Prev. Social,2026,50108996620254000000,Honorários Advocatícios,1726176,NAO_IDENTIFICADO,PENDENTE,,,5010899-66.2025.4.00.9198,,,Entidade nao mapeada para extracao TRF1,NAO_TESTADO,0958521,Conselho Nacional de Justiça,"2004-01-12 00:00:00,000","2025-04-01 00:00:00,000",13,Não,33909100,1910470,1970695.102144243,Não Fundef,21,20 anos ou mais,Previdência,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_APROX_10.7%
